,Year,NA Sales,EU Sales,JP Sales,Other Sales,Global Sales
0,2015,205.64,195.42,67.44,60.02,528.52
1,2016,45.32,53.52,27.34,15.5,141.68
2,2017,0,0,0.1,0,0.1
3,2020,0.54,0,0,0.04,0.58
,,,,,,
,Year,Sales,,,,
0,2015,"{'na_sales':205.64, 'eu_sales':195.42,'jp_sales':67.44,'other_sales':60.02,'global_sales':528.52}",,,,
1,2016,"{'na_sales':45.32, 'eu_sales':53.52,'jp_sales':27.34,'other_sales':15.50,'global_sales':141.68}",,,,
2,2017,"{'na_sales':0.0, 'eu_sales':0.0,'jp_sales':0.10,'other_sales':0.0,'global_sales':0.10}",,,,
3,2020,"{'na_sales':0.54, 'eu_sales':0.0,'jp_sales':0.0,'other_sales':0.04,'global_sales':0.58}",,,,
